"Place","Title","lon","lat","geoAddress"
"[P0000]","Rexburg, Madison, Idaho, USA",-111.7924237,43.8231096,"rexburg, id, usa"
"[P0001]","Rexburg, Idaho, USA",-111.7924237,43.8231096,"rexburg, id, usa"
"[P0002]","Rexburg, ID",-111.7924237,43.8231096,"rexburg, id, usa"
"[P0003]","Idaho Falls, Idaho, USA",-112.0407584,43.4926607,"idaho falls, id, usa"
"[P0004]","San Angelo, Tom Green, Texas",-100.4370375,31.4637723,"san angelo, tx, usa"
"[P0005]","Idaho Falls, ID",-112.0407584,43.4926607,"idaho falls, id, usa"
"[P0006]","Ukiah, Mendocino, California",-123.2077831,39.1501709,"ukiah, ca 95482, usa"
"[P0007]","Willits, CA",-123.3555656,39.4096079,"willits, ca 95490, usa"
"[P0008]","Torrance, Los Angeles, California",-118.3406288,33.8358492,"torrance, ca, usa"
"[P0009]","Ukiah, CA",-123.2077831,39.1501709,"ukiah, ca 95482, usa"
"[P0010]","San Jose, Santa Clara, California",-121.8863286,37.3382082,"san jose, ca, usa"
"[P0011]","Roosevelt, Duchesne, Utah",-109.9887605,40.299403,"roosevelt, ut 84066, usa"
"[P0012]","Hanna, Duchesne, Utah",-110.7651617,40.4041143,"hanna, ut 84072, usa"
"[P0013]","Hanna, Duchesne, Utah, USA",-110.7651617,40.4041143,"hanna, ut 84072, usa"
"[P0014]","Idaho Falls, Bonneville, Idaho, USA",-112.0407584,43.4926607,"idaho falls, id, usa"
"[P0015]","San Jose, California, USA",-121.8863286,37.3382082,"san jose, ca, usa"
"[P0016]","North Salt Lake, UT",-111.9068824,40.8485564,"north salt lake, ut, usa"
"[P0017]","Alameda Ward 3, Alameda, California, USA",-122.2821855,37.7798721,"alameda, ca, usa"
"[P0018]","Santa Clara, Santa Clara, California, USA",-121.9552356,37.3541079,"santa clara, ca, usa"
"[P0019]","Rexburg, Madison County, Idaho, USA",-111.7924237,43.8231096,"rexburg, id, usa"
