team,year,name,id
atlanta-hawks,2018,Kent Bazemore,11079
portland-trail-blazers,2018,Damian Lillard,10814
portland-trail-blazers,2018,C.J. McCollum,13323
portland-trail-blazers,2018,Evan Turner,6883
portland-trail-blazers,2018,Jusuf Nurkic,15368
portland-trail-blazers,2018,Meyers Leonard,10819
portland-trail-blazers,2018,Maurice Harkless,10823
portland-trail-blazers,2018,Al-Farouq Aminu,6890
portland-trail-blazers,2018,Zach Collins,23605
portland-trail-blazers,2018,Rodney Hood,15375
portland-trail-blazers,2018,Seth Curry,13512
portland-trail-blazers,2018,Anfernee Simons,26990
portland-trail-blazers,2018,Skal Labissiere,20233
portland-trail-blazers,2018,Jake Layman,20253
portland-trail-blazers,2018,Gary Trent Jr.,27003
portland-trail-blazers,2018,Enes Kanter,8053
sacramento-kings,2018,Harrison Barnes,10815
sacramento-kings,2018,Alec Burks,8063
sacramento-kings,2018,Bogdan Bogdanovic,15379
sacramento-kings,2018,Kosta Koufos,6254
sacramento-kings,2018,Marvin Bagley III,26968
sacramento-kings,2018,Nemanja Bjelica,6917
sacramento-kings,2018,De'Aaron Fox,23600
sacramento-kings,2018,Willie Cauley-Stein,17834
sacramento-kings,2018,Buddy Hield,20211
sacramento-kings,2018,Yogi Ferrell,20283
sacramento-kings,2018,Harry Giles,23615
sacramento-kings,2018,Corey Brewer,2573
sacramento-kings,2018,Caleb Swanigan,23621
sacramento-kings,2018,Frank Mason III,23629
sacramento-kings,2018,B.J. Johnson,28026
san-antonio-spurs,2018,DeMar DeRozan,6327
san-antonio-spurs,2018,LaMarcus Aldridge,2672
san-antonio-spurs,2018,Patrick Mills,6322
san-antonio-spurs,2018,Rudy Gay,2534
